"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB TITLE","PDB ID","PDB CRYST1 a","PDB CRYST1 b","PDB CRYST1 c","PDB CRYST1 alpha","PDB CRYST1 beta","PDB CRYST1 gamma","PDB CRYST1 Space Group","PDB CRYST1 z","PDB CLASSIFICATION","PDB DEPOSITION DATE","PDB format version","PDB R","PDB Rfree","PDB RESOLUTION","PDB EXPDTA","PDB EXPDTA TEMPERATURE","PDB EXPDTA PH","PDB REMARK 350 Biomolecule 1 Transform 1 Chains","PDB REMARK 350 Biomolecule 1 Transform 1 Matrix 1","PDB REMARK 350 Biomolecule 1 Transform 1 Matrix 2","Source Path","Source File","Source File Index","entry id backup","prepared","prepared with version","assigned bond orders","added hydrogens","treated metals","created disulfur","ran protassign","Potential Energy-OPLS3e","RMS Derivative-OPLS3e","Max Derivative-OPLS3e","Stretch Energy-OPLS3e","Bend Energy-OPLS3e","LJ-14 Energy-OPLS3e","El-14 Energy-OPLS3e","Van der Waals Energy-OPLS3e","Electrostatic Energy-OPLS3e","Dihedral Energy-OPLS3e","target temperature","ran impref","PUBCHEM_COMPOUND_CID","PUBCHEM_CONFORMER_RMSD","PUBCHEM_CONFORMER_DIVERSEORDER","PUBCHEM_MMFF94_PARTIAL_CHARGES","PUBCHEM_EFFECTIVE_ROTOR_COUNT","PUBCHEM_PHARMACOPHORE_FEATURES","PUBCHEM_HEAVY_ATOM_COUNT","PUBCHEM_ATOM_DEF_STEREO_COUNT","PUBCHEM_ATOM_UDEF_STEREO_COUNT","PUBCHEM_BOND_DEF_STEREO_COUNT","PUBCHEM_BOND_UDEF_STEREO_COUNT","PUBCHEM_ISOTOPIC_ATOM_COUNT","PUBCHEM_COMPONENT_COUNT","PUBCHEM_CACTVS_TAUTO_COUNT","PUBCHEM_CONFORMER_ID","PUBCHEM_MMFF94_ENERGY","PUBCHEM_FEATURE_SELFOVERLAP","PUBCHEM_SHAPE_FINGERPRINT","PUBCHEM_SHAPE_MULTIPOLES","PUBCHEM_SHAPE_SELFOVERLAP","PUBCHEM_SHAPE_VOLUME","PUBCHEM_COORDINATE_TYPE","chiral flag","version","ct enhanced stereo status","source file","source file index","mmshare version","input","cmdline","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","flags","Force Field","Energy","Chiralities Consistent","Variant","Job Name","tautomer probability","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","grid type","receptor","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","glide gscore","glide lipo","glide hbond","glide metal","glide rewards","glide evdw","glide ecoul","glide erotb","glide esite","glide emodel","glide energy","glide einternal","glide confnum","glide posenum","glide eff state penalty","Mark"
,"1BG1","1","1bg1.1","2026-05-24 16:44:49","2026-05-24 16:56:57","TRANSCRIPTION FACTOR STAT3B/DNA COMPLEX","1BG1",174.000,174.000,79.400,90.000,90.000,90.000,"I 41",8,"TRANSCRIPTION/DNA","03-JUN-98","3.30",0.246,0.301,2.250,"X-RAY DIFFRACTION",100.000,7.000,"B, A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","-1.000000 0.000000 0.000000   174.000000;0.000000 -1.000000 0.000000   174.000000;0.000000 0.000000 1.000000   0.000000","C:\Users\Dell\OneDrive\Documents\Schrodinger","1bg1.pdb",1,"",,"",,,,,,,,,,,,,,,,,,,,"","",,"",,,,,,,,,"",,,"","",,,"",,,,"",,,"","",,,,,,,,,"",,,"","",,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,
,"1BG1 - preprocessed","2","1bg1.1","2026-05-24 16:57:00","2026-05-24 17:02:00","TRANSCRIPTION FACTOR STAT3B/DNA COMPLEX","1BG1",174.000,174.000,79.400,90.000,90.000,90.000,"I 41",8,"TRANSCRIPTION/DNA","03-JUN-98","3.30",0.246,0.301,2.250,"X-RAY DIFFRACTION",100.000,7.000,"B, A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","-1.000000 0.000000 0.000000   174.000000;0.000000 -1.000000 0.000000   174.000000;0.000000 0.000000 1.000000   0.000000","C:\Users\Dell\OneDrive\Documents\Schrodinger","1bg1.pdb",1,"1",true,"2020-3",true,true,true,true,,,,,,,,,,,,,,,,"","",,"",,,,,,,,,"",,,"","",,,"",,,,"",,,"","",,,,,,,,,"",,,"","",,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,
,"1BG1 - preprocessed","3","1bg1.1","2026-05-24 17:02:02","2026-05-24 17:04:16","TRANSCRIPTION FACTOR STAT3B/DNA COMPLEX","1BG1",174.000,174.000,79.400,90.000,90.000,90.000,"I 41",8,"TRANSCRIPTION/DNA","03-JUN-98","3.30",0.246,0.301,2.250,"X-RAY DIFFRACTION",100.000,7.000,"B, A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","-1.000000 0.000000 0.000000   174.000000;0.000000 -1.000000 0.000000   174.000000;0.000000 0.000000 1.000000   0.000000","C:\Users\Dell\OneDrive\Documents\Schrodinger","1bg1.pdb",1,"2",true,"2020-3",true,true,true,true,,,,,,,,,,,,,,,,"","",,"",,,,,,,,,"",,,"","",,,"",,,,"",,,"","",,,,,,,,,"",,,"","",,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,
,"1BG1 - hbond-opt","6","1bg1.1","2026-05-24 17:10:30","2026-05-24 17:10:30","TRANSCRIPTION FACTOR STAT3B/DNA COMPLEX","1BG1",174.000,174.000,79.400,90.000,90.000,90.000,"I 41",8,"TRANSCRIPTION/DNA","03-JUN-98","3.30",0.246,0.301,2.250,"X-RAY DIFFRACTION",100.000,7.000,"B, A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","-1.000000 0.000000 0.000000   174.000000;0.000000 -1.000000 0.000000   174.000000;0.000000 0.000000 1.000000   0.000000","C:\Users\Dell\OneDrive\Documents\Schrodinger","1bg1.pdb",1,"3",true,"2020-3",true,true,true,true,true,,,,,,,,,,,,,,,"","",,"",,,,,,,,,"",,,"","",,,"",,,,"",,,"","",,,,,,,,,"",,,"","",,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,
,"1BG1 - minimized","5","1bg1.1","2026-05-24 17:10:15","2026-05-24 23:29:21","TRANSCRIPTION FACTOR STAT3B/DNA COMPLEX","1BG1",174.000,174.000,79.400,90.000,90.000,90.000,"I 41",8,"TRANSCRIPTION/DNA","03-JUN-98","3.30",0.246,0.301,2.250,"X-RAY DIFFRACTION",100.000,7.000,"B, A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","-1.000000 0.000000 0.000000   174.000000;0.000000 -1.000000 0.000000   174.000000;0.000000 0.000000 1.000000   0.000000","C:\Users\Dell\OneDrive\Documents\Schrodinger","1bg1.pdb",1,"3",true,"2020-3",true,true,true,true,,-2407.555,0.177,4.335,303.628,1353.644,2943.152,751.725,-5621.088,-3424.475,1061.347,298.000,true,,,"","",,"",,,,,,,,,"",,,"","",,,"",,,,"",,,"","",,,,,,,,,"",,,"","",,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,
,"1BG1 - hbond-opt","4","1bg1.1","2026-05-24 17:09:30","2026-05-24 17:09:30","TRANSCRIPTION FACTOR STAT3B/DNA COMPLEX","1BG1",174.000,174.000,79.400,90.000,90.000,90.000,"I 41",8,"TRANSCRIPTION/DNA","03-JUN-98","3.30",0.246,0.301,2.250,"X-RAY DIFFRACTION",100.000,7.000,"B, A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","-1.000000 0.000000 0.000000   174.000000;0.000000 -1.000000 0.000000   174.000000;0.000000 0.000000 1.000000   0.000000","C:\Users\Dell\OneDrive\Documents\Schrodinger","1bg1.pdb",1,"3",true,"2020-3",true,true,true,true,true,,,,,,,,,,,,,,,"","",,"",,,,,,,,,"",,,"","",,,"",,,,"",,,"","",,,,,,,,,"",,,"","",,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,
,"4477","7","Conformer3D_COMPOUND_CID_4477.1","2026-05-24 17:18:36","2026-05-24 18:12:57","","",,,,,,,"",,"","","",,,,"",,,"","","","C:\Users\Dell\Desktop","Conformer3D_COMPOUND_CID_4477.sdf",1,"",,"",,,,,,,,,,,,,,,,,,4477,0.600,"4
13
12
7
3
14
6
1
11
10
5
15
9
8
2","29
1 -0.18
10 0.09
11 0.54
12 0.18
13 -0.15
14 0.08
15 0.13
16 -0.15
17 -0.15
18 -0.15
19 -0.15
2 -0.18
20 0.18
21 -0.15
22 0.37
23 0.15
24 0.15
25 0.15
26 0.15
27 0.15
28 0.15
29 0.45
3 -0.53
4 -0.57
5 -0.52
6 -0.52
7 -0.55
8 0.91
9 0.12",4,"8
1 3 donor
1 4 acceptor
1 5 acceptor
1 5 anion
1 6 acceptor
1 7 donor
6 10 14 16 19 20 21 rings
6 9 12 13 15 17 18 rings",21,0,0,0,0,0,1,7,"0000117D00000004",69.484,40.675,"10090160 65 18334572451547704191
10366900 7 17603878754315409176
10595046 47 18410855477592932549
10670039 82 18340504283195557244
10906281 52 18201175294957130097
11578080 2 13480576103530146228
12107183 9 17617940236117852506
12166972 35 18113621192089763812
12236239 1 18409166614800320047
12403260 363 18338234865029877808
12788726 201 17846509114213409393
13167823 11 18411135809955666994
13533116 47 17241036622661695306
14341114 176 18409172077977829346
14528608 73 18411984697488526204
14787075 74 18410291441171041051
14790565 3 18342463629790050809
15196674 1 18411700959037741445
15342168 16 17896606274690451004
15442244 35 18194119604245558938
15927050 60 17409363322758381533
17492 89 18268429018981872818
17834072 33 18410291427869485695
17844677 252 18337397041105900420
18681886 176 18343579634519173562
19489759 90 15791446016066792101
200 152 18411133624096530951
20645477 70 18410293567190928262
20715895 44 17905885877708970837
21033648 29 16588292899899334413
21065198 48 18338518530344833970
21267235 1 18411989031184497550
21652331 79 18411982464079294636
21792934 111 18341601582767352793
23352939 185 18060423538230393777
23402539 116 18272363166528269783
23522609 53 17986416519025283513
23557571 272 17775012245283010764
23558518 356 17981337698484809225
23559900 14 18411132545764353778
239999 70 18342182137849852910
245318 6 17172100748452515060
26918003 58 18040999544291442427
3004659 81 18407759222958372176
34797466 226 15482670233936110505
350125 39 18410572873425146340
3545911 37 18407761434819128294
4073 2 17895481426517949739
4214541 1 18338234856054970536
4325135 7 18412825789365657485
4340502 62 17458063784970440962
474 4 17968382355154971316
474229 33 18342457045341396391
5104073 3 18339364063197206929
5283173 99 18115297866081850781
5374978 207 18411976949351524562
542803 24 18260266352046497471
59755656 215 18341620283023336990
67856867 119 18409442605446776112
7495541 125 17988918998255841603
8272917 22 18409450267747923702
9709674 26 18339086981977989514","402.47
13.28
2.57
0.72
6.82
0.98
-0.01
1.06
0.58
-2.16
-0.13
-0.2
0.09
-1.35",855.339,226.100,"2
5
10",false,0,0,"",,,"","",,,,,,,,,"",,,"","",,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,
,"4477","8","Conformer3D_COMPOUND_CID_4477.1","2026-05-24 17:24:11","2026-05-24 18:12:52","","",,,,,,,"",,"","","",,,,"",,,"","","","C:\Users\Dell\Desktop","Conformer3D_COMPOUND_CID_4477.sdf",1,"",,"",,,,,,,,,,,,,,,,,,4477,0.600,"4
13
12
7
3
14
6
1
11
10
5
15
9
8
2","29
1 -0.18
10 0.09
11 0.54
12 0.18
13 -0.15
14 0.08
15 0.13
16 -0.15
17 -0.15
18 -0.15
19 -0.15
2 -0.18
20 0.18
21 -0.15
22 0.37
23 0.15
24 0.15
25 0.15
26 0.15
27 0.15
28 0.15
29 0.45
3 -0.53
4 -0.57
5 -0.52
6 -0.52
7 -0.55
8 0.91
9 0.12",4,"8
1 3 donor
1 4 acceptor
1 5 acceptor
1 5 anion
1 6 acceptor
1 7 donor
6 10 14 16 19 20 21 rings
6 9 12 13 15 17 18 rings",21,0,0,0,0,0,1,7,"0000117D00000004",69.484,40.675,"10090160 65 18334572451547704191
10366900 7 17603878754315409176
10595046 47 18410855477592932549
10670039 82 18340504283195557244
10906281 52 18201175294957130097
11578080 2 13480576103530146228
12107183 9 17617940236117852506
12166972 35 18113621192089763812
12236239 1 18409166614800320047
12403260 363 18338234865029877808
12788726 201 17846509114213409393
13167823 11 18411135809955666994
13533116 47 17241036622661695306
14341114 176 18409172077977829346
14528608 73 18411984697488526204
14787075 74 18410291441171041051
14790565 3 18342463629790050809
15196674 1 18411700959037741445
15342168 16 17896606274690451004
15442244 35 18194119604245558938
15927050 60 17409363322758381533
17492 89 18268429018981872818
17834072 33 18410291427869485695
17844677 252 18337397041105900420
18681886 176 18343579634519173562
19489759 90 15791446016066792101
200 152 18411133624096530951
20645477 70 18410293567190928262
20715895 44 17905885877708970837
21033648 29 16588292899899334413
21065198 48 18338518530344833970
21267235 1 18411989031184497550
21652331 79 18411982464079294636
21792934 111 18341601582767352793
23352939 185 18060423538230393777
23402539 116 18272363166528269783
23522609 53 17986416519025283513
23557571 272 17775012245283010764
23558518 356 17981337698484809225
23559900 14 18411132545764353778
239999 70 18342182137849852910
245318 6 17172100748452515060
26918003 58 18040999544291442427
3004659 81 18407759222958372176
34797466 226 15482670233936110505
350125 39 18410572873425146340
3545911 37 18407761434819128294
4073 2 17895481426517949739
4214541 1 18338234856054970536
4325135 7 18412825789365657485
4340502 62 17458063784970440962
474 4 17968382355154971316
474229 33 18342457045341396391
5104073 3 18339364063197206929
5283173 99 18115297866081850781
5374978 207 18411976949351524562
542803 24 18260266352046497471
59755656 215 18341620283023336990
67856867 119 18409442605446776112
7495541 125 17988918998255841603
8272917 22 18409450267747923702
9709674 26 18339086981977989514","402.47
13.28
2.57
0.72
6.82
0.98
-0.01
1.06
0.58
-2.16
-0.13
-0.2
0.09
-1.35",855.339,226.100,"2
5
10",false,0,2,"ligprep_1.maegz",1,51139,"W08tXVtOK10oPU8pYyhbY0hdW2NIXTEpW2NIXWMoQ2wpYzFbTkhdQyg9TyljMmMoW09IXSlbY0hdW2NIXWMoQ2wpW2NIXTI=","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0755,0.0755,0.0000,0.0666,0.142,-1,3,0,"OPLS3e",31.219,true,"4477-1","ligprep_1",,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,
,"4477","9","Conformer3D_COMPOUND_CID_4477.1","2026-05-24 17:24:11","2026-05-24 23:29:59","","",,,,,,,"",,"","","",,,,"",,,"","","","C:\Users\Dell\Desktop","Conformer3D_COMPOUND_CID_4477.sdf",1,"",,"",,,,,,,,,,,,,,,,,,4477,0.600,"4
13
12
7
3
14
6
1
11
10
5
15
9
8
2","29
1 -0.18
10 0.09
11 0.54
12 0.18
13 -0.15
14 0.08
15 0.13
16 -0.15
17 -0.15
18 -0.15
19 -0.15
2 -0.18
20 0.18
21 -0.15
22 0.37
23 0.15
24 0.15
25 0.15
26 0.15
27 0.15
28 0.15
29 0.45
3 -0.53
4 -0.57
5 -0.52
6 -0.52
7 -0.55
8 0.91
9 0.12",4,"8
1 3 donor
1 4 acceptor
1 5 acceptor
1 5 anion
1 6 acceptor
1 7 donor
6 10 14 16 19 20 21 rings
6 9 12 13 15 17 18 rings",21,0,0,0,0,0,1,7,"0000117D00000004",69.484,40.675,"10090160 65 18334572451547704191
10366900 7 17603878754315409176
10595046 47 18410855477592932549
10670039 82 18340504283195557244
10906281 52 18201175294957130097
11578080 2 13480576103530146228
12107183 9 17617940236117852506
12166972 35 18113621192089763812
12236239 1 18409166614800320047
12403260 363 18338234865029877808
12788726 201 17846509114213409393
13167823 11 18411135809955666994
13533116 47 17241036622661695306
14341114 176 18409172077977829346
14528608 73 18411984697488526204
14787075 74 18410291441171041051
14790565 3 18342463629790050809
15196674 1 18411700959037741445
15342168 16 17896606274690451004
15442244 35 18194119604245558938
15927050 60 17409363322758381533
17492 89 18268429018981872818
17834072 33 18410291427869485695
17844677 252 18337397041105900420
18681886 176 18343579634519173562
19489759 90 15791446016066792101
200 152 18411133624096530951
20645477 70 18410293567190928262
20715895 44 17905885877708970837
21033648 29 16588292899899334413
21065198 48 18338518530344833970
21267235 1 18411989031184497550
21652331 79 18411982464079294636
21792934 111 18341601582767352793
23352939 185 18060423538230393777
23402539 116 18272363166528269783
23522609 53 17986416519025283513
23557571 272 17775012245283010764
23558518 356 17981337698484809225
23559900 14 18411132545764353778
239999 70 18342182137849852910
245318 6 17172100748452515060
26918003 58 18040999544291442427
3004659 81 18407759222958372176
34797466 226 15482670233936110505
350125 39 18410572873425146340
3545911 37 18407761434819128294
4073 2 17895481426517949739
4214541 1 18338234856054970536
4325135 7 18412825789365657485
4340502 62 17458063784970440962
474 4 17968382355154971316
474229 33 18342457045341396391
5104073 3 18339364063197206929
5283173 99 18115297866081850781
5374978 207 18411976949351524562
542803 24 18260266352046497471
59755656 215 18341620283023336990
67856867 119 18409442605446776112
7495541 125 17988918998255841603
8272917 22 18409450267747923702
9709674 26 18339086981977989514","402.47
13.28
2.57
0.72
6.82
0.98
-0.01
1.06
0.58
-2.16
-0.13
-0.2
0.09
-1.35",855.339,226.100,"2
5
10",false,0,2,"ligprep_1.maegz",1,51139,"W08tXVtOK10oPU8pYyhbY0hdW2NIXTEpW2NIXWMoQ2wpYzFbTkhdQyg9TyljMmMoW09IXSlbY0hdW2NIXWMoQ2wpW2NIXTI=","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.2579,0.0000,1.2579,1.3281,1.328,0,2,0,"OPLS3e",31.314,true,"4477-2","ligprep_1",1.000,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,
0,"1BG1 - minimized","10","1bg1.1","2026-05-24 18:18:47","2026-05-24 23:33:45","TRANSCRIPTION FACTOR STAT3B/DNA COMPLEX","1BG1",174.000,174.000,79.400,90.000,90.000,90.000,"I 41",8,"TRANSCRIPTION/DNA","03-JUN-98","3.30",0.246,0.301,2.250,"X-RAY DIFFRACTION",100.000,7.000,"B, A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","-1.000000 0.000000 0.000000   174.000000;0.000000 -1.000000 0.000000   174.000000;0.000000 0.000000 1.000000   0.000000","C:\Users\Dell\OneDrive\Documents\Schrodinger","1bg1.pdb",1,"3",true,"2020-3",true,true,true,true,,-2407.555,0.177,4.335,303.628,1353.644,2943.152,751.725,-5621.088,-3424.475,1061.347,298.000,true,,,"","",,"",,,,,,,,,"",,,"","",,,"",,,,"",,,"","",,,,,,,,,"",,,"","glide-dock_SP_2",,88139,92.756,86.675,62.778,30.000,30.000,30.000,10.000,10.000,10.000,"glide",true,"",,,,,,,,,,,,,,,,,,,,,,
